135,340,630
139,207,214
140,707,729
140,707,847
141,529,645
142,576,876
146,250,895
147,207,729
147,236,575
147,265,602
147,407,926
147,444,780
149,854,983
150,868,976
153,296,405
154,465,759
154,576,735
158,308,612
158,517,720
163,187,786
163,243,527
163,293,931
163,798,907
164,554,589
167,241,326
168,279,317
169,265,534
169,347,783
169,452,887
169,843,978
172,218,615
173,393,992
175,298,683
176,328,505
178,409,945
178,442,770
178,621,791
178,739,760
179,228,766
180,307,398
180,398,572
182,305,536
183,257,988
183,327,600
183,587,911
185,482,752
186,293,437
187,345,935
187,489,834
187,842,943
188,377,568
194,378,880
196,381,989
196,385,989
196,611,934
197,565,674
198,513,800
198,521,590
203,300,978
203,573,806
207,809,853
208,336,496
208,380,538
208,538,941
209,751,819
213,501,545
213,530,927
214,290,551
214,372,835
214,476,812
217,505,604
218,538,972
219,461,665
221,414,909
223,228,862
224,540,866
225,523,800
225,994,995
226,228,365
227,517,604
227,619,922
227,922,962
228,281,515
228,467,795
231,518,544
235,292,305
236,430,876
236,454,714
236,520,623
237,278,283
237,344,927
237,441,831
241,310,984
242,267,624
242,303,828
242,628,828
242,790,920
243,374,467
245,611,706
246,365,620
246,576,629
247,330,397
247,429,453
247,429,723
248,340,860
252,693,786
253,287,692
254,336,662
255,448,672
257,472,517
257,626,766
258,392,424
259,281,702
262,842,943
263,446,702
265,293,789
265,349,474
265,508,893
265,743,881
266,480,964
267,771,804
267,779,804
271,457,622
272,744,940
273,324,753
275,361,952
275,640,773
279,696,746
280,383,853
280,881,912
281,415,852
282,549,642
282,549,941
283,290,387
283,457,869
290,432,576
292,396,952
293,605,957
294,411,469
296,373,624
296,477,825
297,327,585
297,480,675
299,768,864
305,536,866
305,631,700
306,716,797
306,907,964
309,688,843
310,428,554
310,637,785
311,517,653
311,596,622
312,855,974
313,775,806
316,484,738
317,637,735
318,744,863
321,477,692
324,802,999
330,449,567
330,567,747
330,614,806
332,980,993
334,345,935
334,352,387
338,356,995
338,923,995
341,578,768
344,426,584
344,619,723
344,785,833
346,365,759
346,587,911
347,451,989
348,447,724
348,738,960
350,399,509
350,704,717
351,375,524
354,517,857
354,578,599
357,575,729
357,677,853
358,417,474
358,611,789
360,719,852
362,835,844
363,392,624
363,738,985
365,576,629
365,620,805
367,417,825
371,561,655
371,803,953
372,533,786
375,894,996
377,894,996
378,436,919
378,466,650
378,466,866
380,538,789
380,725,883
381,631,863
381,863,931
382,422,461
382,422,741
382,461,741
387,529,715
392,539,587
393,728,961
393,728,968
393,826,915
396,717,959
400,662,735
401,845,953
403,760,982
404,692,857
405,510,920
411,597,835
415,494,852
418,596,622
420,511,575
420,551,618
420,631,943
421,571,953
422,461,741
423,886,920
429,453,634
431,497,616
435,854,970
444,587,802
447,465,689
452,572,672
452,572,785
454,671,714
458,462,729
464,932,944
465,576,894
465,619,919
465,619,998
465,950,957
467,720,797
468,888,959
472,612,790
474,882,901
483,514,546
486,877,922
489,672,880
495,877,962
497,526,728
499,544,629
502,540,810
507,625,699
509,576,803
509,845,960
510,546,702
513,668,805
514,598,618
517,710,825
517,729,983
525,620,694
525,681,705
526,599,776
527,750,909
539,640,648
540,773,791
543,780,868
552,845,952
553,804,939
556,656,731
557,708,784
559,571,940
559,651,886
562,567,986
562,737,789
568,655,999
568,780,788
572,889,920
575,703,726
575,777,916
576,780,876
576,909,967
578,776,892
584,844,895
585,595,850
586,788,853
594,909,924
596,677,820
608,762,957
609,805,823
618,621,878
620,797,831
622,674,831
631,692,922
631,741,854
631,780,868
631,859,932
631,908,922
645,686,951
645,715,850
650,689,838
660,679,840
661,663,728
667,728,911
668,792,888
669,881,974
672,808,880
680,694,717
697,871,950
699,707,739
717,858,959
727,781,998
729,760,965
751,868,901
760,807,976
763,886,996
772,844,942
816,913,928
834,869,971
845,905,952
908,918,959
